ind,father,mother,sex
333,0,0,1
1016,0,0,2
1017,0,0,1
1018,0,0,2
1019,0,0,1
1022,0,0,2
1023,0,0,1
1024,0,0,2
1025,0,0,1
1026,0,0,2
1027,0,0,1
1034,0,0,2
1035,0,0,1
1037,0,0,2
1038,0,0,1
1039,0,0,2
1040,0,0,1
1047,0,0,2
1048,0,0,1
1057,0,0,1
1058,0,0,2
1061,0,0,2
1062,0,0,1
1073,0,0,1
1075,0,0,1
1076,0,0,2
1077,0,0,2
1078,0,0,1
1082,0,0,1
1083,0,0,2
1084,0,0,1
1085,0,0,2
1106,0,0,2
1107,0,0,1
1115,0,0,1
1128,0,0,2
1129,0,0,1
1143,0,0,1
1151,0,0,2
1152,0,0,1
1159,0,0,2
1160,0,0,1
1166,0,0,1
1167,0,0,1
1168,0,0,2
1169,0,0,2
1171,0,0,1
1201,0,0,1
1229,0,0,2
1233,0,0,1
1306,0,0,2
1310,0,0,1
1372,0,0,2
1488,0,0,2
1901,0,0,2
1997,0,0,2
2000,0,0,1
2091,0,0,1
2102,0,0,2
2385,0,0,2
2388,0,0,1
2403,0,0,2
2404,0,0,1
2417,0,0,1
2433,0,0,1
2434,0,0,2
2441,0,0,2
2442,0,0,1
2446,0,0,2
2447,0,0,1
2453,0,0,2
2458,0,0,2
2459,0,0,1
2463,0,0,2
2464,0,0,1
2465,0,0,2
2466,0,0,2
2467,0,0,1
2470,0,0,2
2471,0,0,1
2482,0,0,1
2483,0,0,2
2489,0,0,2
2490,0,0,1
2524,0,0,2
2525,0,0,1
2526,0,0,2
2527,0,0,1
2528,0,0,2
2533,0,0,1
2535,0,0,2
2537,0,0,2
2538,0,0,2
2539,0,0,1
2540,0,0,1
2546,0,0,1
2552,0,0,2
2553,0,0,1
2554,0,0,2
2555,0,0,1
2560,0,0,2
2561,0,0,1
2571,0,0,1
2601,0,0,2
2602,0,0,1
2628,0,0,1
2665,0,0,2
2666,0,0,2
2667,0,0,1
2668,0,0,2
2669,0,0,1
2675,0,0,1
2677,0,0,1
2684,0,0,2
2685,0,0,1
2709,0,0,1
2710,0,0,2
2711,0,0,1
2712,0,0,2
2713,0,0,1
2721,0,0,1
2722,0,0,2
2726,0,0,2
2727,0,0,1
2728,0,0,2
2729,0,0,1
2736,0,0,1
2737,0,0,2
2746,0,0,2
2747,0,0,1
2748,0,0,2
2749,0,0,1
2755,0,0,2
2756,0,0,1
2757,0,0,2
2758,0,0,1
2760,0,0,1
2761,0,0,2
2762,0,0,1
2782,0,0,2
2783,0,0,1
2784,0,0,1
2785,0,0,2
2793,0,0,2
2794,0,0,1
2808,0,0,1
2809,0,0,2
2810,0,0,1
2811,0,0,2
2818,0,0,2
2819,0,0,2
2820,0,0,1
2821,0,0,1
2837,0,0,2
2838,0,0,1
2841,0,0,2
2842,0,0,1
2843,0,0,1
2860,0,0,2
2861,0,0,1
2871,0,0,2
2872,0,0,1
2875,0,0,2
2876,0,0,1
2913,0,0,2
2914,0,0,1
2915,0,0,2
2923,0,0,2
2924,0,0,1
2926,0,0,2
2927,0,0,1
2928,0,0,2
2929,0,0,1
2930,0,0,2
2931,0,0,2
2932,0,0,1
2935,0,0,2
2936,0,0,1
2937,0,0,2
2938,0,0,1
2949,0,0,2
2950,0,0,1
2958,0,0,2
2959,0,0,1
2961,0,0,2
2962,0,0,1
2965,0,0,2
2966,0,0,1
2988,0,0,2
2989,0,0,1
2999,0,0,2
3000,0,0,2
3001,0,0,1
3002,0,0,2
3003,0,0,1
3011,0,0,1
3016,0,0,2
3020,0,0,2
3021,0,0,1
3024,0,0,2
3025,0,0,1
3026,0,0,2
3027,0,0,1
3041,0,0,2
3042,0,0,1
3043,0,0,2
3044,0,0,1
3047,0,0,2
3048,0,0,1
3049,0,0,1
3050,0,0,1
3054,0,0,2
3055,0,0,2
3058,0,0,2
3059,0,0,1
3064,0,0,2
3065,0,0,1
3066,0,0,2
3067,0,0,1
3087,0,0,2
3088,0,0,1
3095,0,0,2
3096,0,0,1
3108,0,0,2
3109,0,0,1
3121,0,0,1
3125,0,0,2
3126,0,0,1
3127,0,0,2
3128,0,0,1
3139,0,0,2
3142,0,0,1
3143,0,0,2
3144,0,0,1
3145,0,0,2
3148,0,0,2
3150,0,0,2
3151,0,0,1
3155,0,0,2
3156,0,0,1
3157,0,0,2
3158,0,0,1
3165,0,0,1
3166,0,0,2
3167,0,0,1
3168,0,0,2
3171,0,0,1
3172,0,0,1
3185,0,0,2
3186,0,0,1
3189,0,0,2
3190,0,0,1
3192,0,0,1
3199,0,0,2
3208,0,0,2
3209,0,0,1
3214,0,0,1
3217,0,0,2
3218,0,0,2
3219,0,0,1
3220,0,0,1
3230,0,0,2
3231,0,0,1
3266,0,0,1
3267,0,0,2
3268,0,0,2
3269,0,0,1
3275,0,0,2
3276,0,0,1
3282,0,0,2
3283,0,0,1
3284,0,0,2
3285,0,0,1
3286,0,0,2
3287,0,0,1
3295,0,0,2
3296,0,0,1
3321,0,0,1
3322,0,0,2
3328,0,0,1
3329,0,0,2
3330,0,0,1
3331,0,0,2
3332,0,0,1
3333,0,0,2
3340,0,0,2
3341,0,0,1
3342,0,0,2
3343,0,0,1
3349,0,0,1
3351,0,0,2
3352,0,0,1
3358,0,0,1
3378,0,0,2
3381,0,0,1
3475,0,0,2
3478,0,0,1
3481,0,0,2
3484,0,0,1
3518,0,0,2
3519,0,0,1
3555,0,0,1
3560,0,0,2
3563,0,0,1
3574,0,0,2
3611,0,0,2
3614,0,0,1
3677,0,0,1
3697,0,0,2
3710,0,0,2
3741,0,0,2
3785,0,0,2
3788,0,0,2
3789,0,0,1
3932,0,0,2
3936,0,0,1
3950,0,0,2
4036,0,0,1
4232,0,0,1
4274,0,0,2
4277,0,0,1
4363,0,0,1
4401,0,0,2
4407,0,0,1
4442,0,0,2
4448,0,0,1
4517,0,0,1
4533,0,0,2
4627,0,0,2
4630,0,0,1
4652,0,0,1
4696,0,0,2
4700,0,0,1
4705,0,0,2
4707,0,0,1
4709,0,0,2
4712,0,0,1
4943,0,0,2
5057,0,0,2
5060,0,0,1
5064,0,0,2
5065,0,0,1
5079,0,0,2
5112,0,0,1
5155,0,0,1
5250,0,0,2
5338,0,0,1
5367,0,0,2
5368,0,0,1
5373,0,0,2
5449,0,0,2
5482,0,0,2
5485,0,0,1
5567,0,0,2
5568,0,0,1
5573,0,0,2
5574,0,0,1
5584,0,0,1
5606,0,0,1
5607,0,0,2
5608,0,0,1
5626,0,0,1
5629,0,0,2
5630,0,0,1
5631,0,0,2
5632,0,0,1
5638,0,0,2
5639,0,0,2
5640,0,0,1
5641,0,0,2
5642,0,0,1
5649,0,0,2
5650,0,0,1
5652,0,0,2
5653,0,0,1
5654,0,0,2
5655,0,0,1
5659,0,0,2
5660,0,0,1
5663,0,0,2
5665,0,0,2
5666,0,0,2
5667,0,0,1
5668,0,0,1
5689,0,0,2
5690,0,0,1
5692,0,0,2
5693,0,0,1
5700,0,0,2
5701,0,0,1
5704,0,0,2
5705,0,0,1
5706,0,0,2
5707,0,0,1
5708,0,0,2
5709,0,0,1
5715,0,0,1
5717,0,0,1
5718,0,0,2
5722,0,0,2
5723,0,0,1
5750,0,0,2
5751,0,0,1
5752,0,0,2
5753,0,0,1
5756,0,0,2
5757,0,0,1
5758,0,0,2
5759,0,0,1
5760,0,0,2
5761,0,0,1
5766,0,0,2
5767,0,0,1
5775,0,0,2
5776,0,0,1
5779,0,0,2
5780,0,0,1
5783,0,0,2
5784,0,0,2
5785,0,0,1
5789,0,0,2
5790,0,0,1
5808,0,0,2
5809,0,0,1
5810,0,0,2
5811,0,0,1
5830,0,0,2
5831,0,0,1
5860,0,0,2
5861,0,0,1
5879,0,0,2
5880,0,0,1
5884,0,0,2
5885,0,0,1
5906,0,0,2
5907,0,0,1
5908,0,0,2
5909,0,0,1
5911,0,0,2
5912,0,0,1
5913,0,0,2
5914,0,0,1
5915,0,0,1
5916,0,0,2
5917,0,0,1
5918,0,0,2
5951,0,0,2
5952,0,0,1
5953,0,0,2
5954,0,0,1
5955,0,0,2
5956,0,0,1
5962,0,0,2
5963,0,0,1
5964,0,0,2
5965,0,0,1
5975,0,0,2
5976,0,0,1
5977,0,0,2
5978,0,0,1
5992,0,0,1
5993,0,0,2
5994,0,0,2
5995,0,0,1
5996,0,0,2
5997,0,0,1
5998,0,0,2
6000,0,0,2
6001,0,0,1
6005,0,0,2
6006,0,0,1
6013,0,0,2
6014,0,0,1
6022,0,0,2
